content,score,at,sentiment,clean_content
"aku suka kerana dia keren, bisa ngedit gambar, tapi chat gpt sekarang masih sama terkecuali, kapan kita mengirim gambar dari kamera, file, album, maksimumnya cuman 3 dan sekarang harus bayar untuk bisa lebih, gua dulu di kelas 6 sebelum semester 2 ujian akhir, dari semester 1 - tengah semester 2 masih bisa sepuas hati mengirim gambar sekarang bagaimana cuman 3 , sampai sini saja semoga pembuat chat gpt lihat",1,2026-05-15 09:44:15.000000,negatif,suka kerana keren ngedit gambar chat gpt terkecuali mengirim gambar kamera file album maksimumnya cuman bayar gua kelas semester ujian semester semester sepuas hati mengirim gambar cuman semoga pembuat chat gpt lihat
"rekaman suara tidak muncul, mungkin karena pembatasan aplikasinya atau sistem android",1,2026-05-16 03:22:36.000000,negatif,rekaman suara tidak muncul pembatasan aplikasinya sistem android
banyak update tapi sering bug lolllll,1,2026-05-13 14:40:20.000000,negatif,update bug lolllll
good,5,2026-05-14 18:20:17.000000,positif,good
beneran aplikasi ga guna,1,2026-05-16 05:28:43.000000,negatif,beneran aplikasi ga
lama banget respon,3,2026-05-16 14:52:18.000000,netral,banget respon
tidak cocok untuk belajar,1,2026-05-18 03:40:27.563182,negatif,tidak cocok belajar
aplikasi tidak stabil,1,2026-05-18 03:40:27.563182,negatif,aplikasi tidak stabil
sangat membantu.,1,2026-05-12 15:02:59.000000,negatif,membantu
sangat memuaskannnnnn👍👍👍👍👍👍👍⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,2026-05-16 23:52:32.000000,positif,memuaskannnnnn
banyak yg salah pas coba nanyak 🤧,1,2026-05-15 11:00:34.000000,negatif,yg salah pas coba nanyak
tidak buruk tapi belum sempurna,3,2026-05-18 03:40:27.563182,netral,tidak buruk belum sempurna
karna aplikasinya sangat bagus,5,2026-05-14 16:59:59.000000,positif,karna aplikasinya bagus
belum akurat,3,2026-05-13 11:29:57.000000,netral,belum akurat
jelek bagusan dri website,1,2026-05-12 03:41:31.000000,negatif,jelek bagusan dri website
gk jelas bikin foto salah terus,1,2026-05-12 12:37:54.000000,negatif,gk bikin foto salah
"bagus, suka banget. tapi juga ada satu bug yang bikin aku harus uninstall dan instal lagi. dan alsannya karena masalah jaringan padahal aku cuma keluar aplikasi dan kembali ke aplikasi cpt lagi dan peringatan nya tetap",3,2026-05-14 14:01:06.000000,netral,bagus suka banget bug bikin uninstall instal alsannya jaringan aplikasi aplikasi cpt peringatan nya
dongo Cok GK pintar pintar masih gw cuman bikin foto aja kayak org mau bikin nuklir seabad foto nya tidak di saran kan,1,2026-05-14 03:03:41.000000,negatif,dongo cok gk pintar pintar gw cuman bikin foto aja kayak org bikin nuklir seabad foto nya tidak saran
sangat membantu,5,2026-05-14 11:32:02.000000,positif,membantu
ngomong kok sama Ai,3,2026-05-12 09:58:53.000000,netral,ngomong ai
belum akurat,3,2026-05-13 11:29:57.000000,netral,belum akurat
bagus ni aplikasi sampe gw kasih bintang 1 1 ai di suruh buat apa gambar salah Mulu muter² 2 ai nya terlalu bodoh 3 di suruh bikin jangan pake grafik ai tapi tetep pake grafik ai jelasin developer kenapa ai nya sejelek ini mungut di mana udah karatan ga hahahahahahahha,1,2026-05-13 10:04:34.000000,negatif,bagus ni aplikasi sampe gw kasih bintang ai suruh gambar salah mulu muter ai nya bodoh suruh bikin jangan pake grafik ai tetep pake grafik ai jelasin developer ai nya sejelek mungut udah karatan ga hahahahahahahha
gila:^ foto abi jadi aneh jir,1,2026-05-15 04:11:20.000000,negatif,gila foto abi aneh jir
aku suka banget cakep banget hasilnya,2,2026-05-13 12:45:36.000000,negatif,suka banget cakep banget hasilnya
mantap,5,2026-05-12 12:05:11.000000,positif,mantap
bgusss bngttt,4,2026-05-14 06:29:11.000000,positif,bgusss bngttt
Bagus sih bagus tapi chat sebelumnya tiba tiba ngilang..terus tiba tiba muncul lagi..agak kesel tapi oke😇,3,2026-05-12 13:26:05.000000,netral,bagus sih bagus chat ngilangterus muncul lagiagak kesel oke
setelah update jadi parah obrolan sering terhenti dan harus ulang lagi,1,2026-05-14 09:56:31.000000,negatif,update parah obrolan terhenti ulang
bagus,4,2026-05-12 16:16:53.000000,positif,bagus
kadang membantu kadang tidak,3,2026-05-18 03:40:27.563182,netral,kadang membantu kadang tidak
sangat bagus,5,2026-05-13 22:41:48.000000,positif,bagus
kesulitan login di apk 😂😭,1,2026-05-13 10:52:14.000000,negatif,kesulitan login apk
yang aku inginkan gak bisa,1,2026-05-12 05:41:22.000000,negatif,gak
bagus banget bisa kasih permahaman yg sangat ditel,3,2026-05-15 14:52:19.000000,netral,bagus banget kasih permahaman yg ditel
masa chatan doang ada batasnya sih,3,2026-05-16 15:19:09.000000,netral,chatan doang batasnya sih
kerenn,3,2026-05-12 21:05:04.000000,netral,kerenn
jelek hasil fotonya,3,2026-05-14 07:31:08.000000,netral,jelek hasil fotonya
bagus,4,2026-05-12 13:20:10.000000,positif,bagus
"Ai ini mengalami bug dan gabisa diajak ngobrol, bikin fotonya lama, ga bisa diajak kerja sama, sama kalo kali kali bisa diajak ngobrol malah ngelantur jawab nya",1,2026-05-16 16:40:43.000000,negatif,ai mengalami bug gabisa diajak ngobrol bikin fotonya ga diajak kerja kalo kali kali diajak ngobrol ngelantur nya
masih perlu diperbaiki,3,2026-05-18 03:40:27.563182,netral,diperbaiki
bagus banget!!!,5,2026-05-15 23:48:14.000000,positif,bagus banget
bagus aplikasinya,4,2026-05-16 20:51:34.000000,positif,bagus aplikasinya
sangat baguss,3,2026-05-16 05:39:45.000000,netral,baguss
"bagus,pinter,bantu buat belajar",5,2026-05-12 12:41:21.000000,positif,baguspinterbantu belajar
dongo Cok GK pintar pintar masih gw cuman bikin foto aja kayak org mau bikin nuklir seabad foto nya tidak di saran kan,1,2026-05-14 03:03:41.000000,negatif,dongo cok gk pintar pintar gw cuman bikin foto aja kayak org bikin nuklir seabad foto nya tidak saran
keren,5,2026-05-13 01:28:23.000000,positif,keren
aplikasi lemot sekali,1,2026-05-18 03:40:27.563182,negatif,aplikasi lemot
"kesal bgt,ini gabisa itu gbsa",2,2026-05-15 08:39:39.000000,negatif,kesal bgtini gabisa gbsa
kadang oot kadang bagus,5,2026-05-13 04:30:58.000000,positif,kadang oot kadang bagus
lumayan,3,2026-05-13 17:17:28.000000,netral,lumayan
bagusss,5,2026-05-14 11:07:14.000000,positif,bagusss
bagus sekali sangat membantu,5,2026-05-15 08:09:37.000000,positif,bagus membantu
ai nya bagus dan seru tapi ada batasan obrolan dan ya.... begitulah harus bayar,3,2026-05-16 14:09:01.000000,netral,ai nya bagus seru batasan obrolan ya bayar
sangat membantu,5,2026-05-14 01:18:37.000000,positif,membantu
banyak limitnya,1,2026-05-12 12:52:15.000000,negatif,limitnya
GK bisa buat vidio,1,2026-05-16 05:34:22.000000,negatif,gk vidio
bagus,5,2026-05-12 04:26:08.000000,positif,bagus
sangat baik tapi mohon dipercepat yaa,5,2026-05-15 09:18:56.000000,positif,mohon dipercepat yaa
bintang limaa,5,2026-05-16 09:07:56.000000,positif,bintang limaa
"bgus bgt, bisa nmnin w klo lgi kesepian n pny pikirn yg anh². bgus jg krna AI ny ud asik, ud kyk ngbrl sm tmn aja",5,2026-05-15 15:48:10.000000,positif,bgus bgt nmnin w klo lgi kesepian n pny pikirn yg anh bgus jg krna ai ny ud asik ud kyk ngbrl sm tmn aja
"programan tidak bagus, asal membuat sebuah jawaban, padahal dari jawaban tersebut udah gw jelasin menggunakan cakupan yang lebih luas, dan program tidak menerima hal tersebut. tolong perbaiki",1,2026-05-16 11:48:49.000000,negatif,programan tidak bagus udah gw jelasin cakupan luas program tidak menerima tolong perbaiki
tidak buruk tapi belum sempurna,3,2026-05-18 03:40:27.563182,netral,tidak buruk belum sempurna
membantu banget buat diskusi tugas👍,5,2026-05-15 12:01:00.000000,positif,membantu banget diskusi tugas
gak bisa edit foto,1,2026-05-13 05:22:49.000000,negatif,gak edit foto
gak bisa edit foto,1,2026-05-13 05:22:49.000000,negatif,gak edit foto
bagus,5,2026-05-12 12:53:15.000000,positif,bagus
banyak limitnya,1,2026-05-12 12:52:15.000000,negatif,limitnya
ai nya bagus dan seru tapi ada batasan obrolan dan ya.... begitulah harus bayar,3,2026-05-16 14:09:01.000000,netral,ai nya bagus seru batasan obrolan ya bayar
bagus ..keren sangat membantu,4,2026-05-12 13:53:18.000000,positif,bagus keren membantu
okee bgt,3,2026-05-14 13:53:47.000000,netral,okee bgt
aku mau lebih cepat memberikan gambar atau foto,3,2026-05-16 23:11:10.000000,netral,cepat gambar foto
"saya menyukai nya, karna memberi hasil sangat memuaskan 🤍🤏🏻",5,2026-05-13 11:35:26.000000,positif,menyukai nya karna hasil memuaskan
ok,5,2026-05-15 22:49:23.000000,positif,ok
banyak bug nih apk ngak di suruh bikin gambar malah bikin gambar semua scene hilang dua kali lagi dan kenapa ini ngak nyambung woy ngaco sumpah ini ai dulu perasaan nyambung sekarang malah kayak ngak nyambung perbaiki woy devolouper,1,2026-05-12 13:13:15.000000,negatif,bug nih apk ngak suruh bikin gambar bikin gambar scene hilang kali ngak nyambung woy ngaco sumpah ai perasaan nyambung kayak ngak nyambung perbaiki woy devolouper
kurang abdet saya lebih dahulu tau informasi daripada aplikasi ini,1,2026-05-12 11:52:55.000000,negatif,kurang abdet tau informasi aplikasi
"terlalu banyak limit ni apk, gw pengen adu ilmu susah bet, chat aja ad limitnya, prasaan dlu gada kek gituan",1,2026-05-13 14:50:48.000000,negatif,limit ni apk gw pengen adu ilmu susah bet chat aja ad limitnya prasaan dlu gada kek gituan
"saat mengirim gambar, lalu beberapa percakapan terjadi, tiba-tiba percakapan itu tidak bisa dilanjutkan karena telah mencapai batas free untuk obrolan lampiran",1,2026-05-14 05:09:40.000000,negatif,mengirim gambar percakapan tibatiba percakapan tidak dilanjutkan mencapai batas free obrolan lampiran
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
sangat m membantu,5,2026-05-16 03:22:00.000000,positif,m membantu
susah digunakan,1,2026-05-18 03:40:27.563182,negatif,susah
"over-moralizing/guardrails, AI terlalu terprogram untuk menjadi aman, sering kali kehilangan kemampuan untuk membedakan antara diskusi analitis dan serangan personal, tidak membaca disclaimer dan memberikan user framing negatif pada sebuah topik general.",1,2026-05-14 13:30:36.000000,negatif,overmoralizingguardrails ai terprogram aman kali kehilangan kemampuan membedakan diskusi analitis serangan personal tidak membaca disclaimer user framing negatif topik general
Good,5,2026-05-16 09:55:02.000000,positif,good
aplikasi yg sangat membantu dan di rekomendasikan untuk mengetahui banyak hal,5,2026-05-13 15:31:01.000000,positif,aplikasi yg membantu rekomendasikan
good and no comment,5,2026-05-15 14:32:55.000000,positif,good and no comment
jawab nya salah terus,1,2026-05-12 02:18:51.000000,negatif,nya salah
bisa turuti kemauan kita,5,2026-05-12 13:40:19.000000,positif,turuti kemauan
bagus sekali,5,2026-05-14 14:40:37.000000,positif,bagus
aplikasi ini biasa saja untuk belajar,3,2026-05-18 03:40:27.563182,netral,aplikasi belajar
mending hapus aja aplikasi nggak ada gunanya,1,2026-05-13 14:45:23.000000,negatif,mending hapus aja aplikasi nggak gunanya
kurang abdet saya lebih dahulu tau informasi daripada aplikasi ini,1,2026-05-12 11:52:55.000000,negatif,kurang abdet tau informasi aplikasi
suka banget,5,2026-05-12 00:58:38.000000,positif,suka banget
sementara dijajaki,5,2026-05-16 12:38:16.000000,positif,dijajaki
amazing,3,2026-05-15 14:19:22.000000,netral,amazing
"bagua banget, bisa sesuai apa yang dipikiran kita",5,2026-05-13 06:58:34.000000,positif,bagua banget sesuai dipikiran
seru,1,2026-05-15 02:54:39.000000,negatif,seru
"PAID FOR CHATGPT PLUS - SUBCRIPTION BUT MY ACCOUNT STILL  FREE VERSION. Is there any customer services can update this issue i have about my subscription status?? If not,,, i feel scammed",2,2026-05-14 14:12:47.000000,negatif,paid for chatgpt plus subcription but my account still free version is there any customer services can update this issue i have about my subscription status if not i feel scammed
"alah aplikasi ampas, klaim paling pinter tapi jawabannya muter-muter kayak komidi putar rusak, nanya a jawabannya z, kebanyakan sensor moral padahal cuma nanya resep seblak doang, lemotnya gak ketulungan berasa nungguin jodoh yang gak dateng-dateng, ui sok minimalis padahal emang males desain aja itu devnya, mending pake otak sendiri daripada kena gaslighting ai halu yang sering banget ngarang bebas tanpa dosa, rating bintang satu aja masih kemurahan buat bot baperan macem gini, sampah digital",1,2026-05-14 10:32:59.000000,negatif,alah aplikasi ampas klaim pinter jawabannya mutermuter kayak komidi putar rusak nanya a jawabannya z kebanyakan sensor moral nanya resep seblak doang lemotnya gak ketulungan berasa nungguin jodoh gak datengdateng ui sok minimalis emang males desain aja devnya mending pake otak kena gaslighting ai halu banget ngarang bebas dosa rating bintang aja kemurahan bot baperan macem gini sampah digital
susah digunakan,1,2026-05-18 03:40:27.563182,negatif,susah
"disrh malah gamw mals gue jdi nya edit di sini , gw kasib bintang 5 deh biar nnti tmbh rajin kalo d srh bos",1,2026-05-11 16:16:52.000000,negatif,disrh gamw mals gue jdi nya edit gw kasib bintang deh biar nnti tmbh rajin kalo d srh bos
karena kurang cepat,3,2026-05-16 23:59:30.000000,netral,kurang cepat
sangat bermanfaat untuk pengguna konten kreator,5,2026-05-15 14:23:40.000000,positif,bermanfaat pengguna konten kreator
good,5,2026-05-13 15:33:34.000000,positif,good
tolong kembalikan Chat GPT seperti dulu,1,2026-05-13 22:01:36.000000,negatif,tolong kembalikan chat gpt
bagus,5,2026-05-13 08:54:10.000000,positif,bagus
aplikasi ini sangat bagus,5,2026-05-14 04:41:47.000000,positif,aplikasi bagus
"bagus, suka banget. tapi juga ada satu bug yang bikin aku harus uninstall dan instal lagi. dan alsannya karena masalah jaringan padahal aku cuma keluar aplikasi dan kembali ke aplikasi cpt lagi dan peringatan nya tetap",3,2026-05-14 14:01:06.000000,netral,bagus suka banget bug bikin uninstall instal alsannya jaringan aplikasi aplikasi cpt peringatan nya
kalo bisa mengedit Poto harus bagus ya😊🙏,3,2026-05-12 11:02:20.000000,netral,kalo mengedit poto bagus ya
oon bgt,2,2026-05-15 13:36:24.000000,negatif,oon bgt
aplikasi bagus tapi lama banget proses nya tolong di perbaiki lagi yaa,3,2026-05-12 12:37:02.000000,netral,aplikasi bagus banget proses nya tolong perbaiki yaa
bermanfaat,5,2026-05-14 16:39:20.000000,positif,bermanfaat
membantu sekali,5,2026-05-13 06:03:57.000000,positif,membantu
kurang cepat aja,2,2026-05-13 14:06:09.000000,negatif,kurang cepat aja
"jelek, ngeselin banget terus juga banyak limitnya",1,2026-05-16 23:44:59.000000,negatif,jelek ngeselin banget limitnya
NO WAR!!!,1,2026-05-13 10:32:12.000000,negatif,no war
kata² kadang blink²,2,2026-05-12 16:19:03.000000,negatif,kadang blink
okee bgt,3,2026-05-14 13:53:47.000000,netral,okee bgt
"Salah satu fitur favorit ku di chat gpt adalah fitur memori, dan akses data memori ke chat baru. Tapi semakin update, bukannya semakin bagus malah semakin koreng. Udah mah kapasitasnya sempit, Ai juga gak mampu akses informasi memori secara penuh dan baik, padahal belum 100% penuh memorinya. Dan terkadang pembahasan Ai nya itu selalu mengurangi apa yang telah disampaikan oleh pengguna, padahal masih berada dalam satu sesi obrolan yang sama.",3,2026-05-15 01:16:36.000000,netral,salah fitur favorit ku chat gpt fitur memori akses data memori chat update bagus koreng udah mah kapasitasnya sempit ai gak akses informasi memori penuh belum penuh memorinya terkadang pembahasan ai nya mengurangi pengguna sesi obrolan
bagus,5,2026-05-14 11:20:37.000000,positif,bagus
gk jelas bikin foto salah terus,1,2026-05-12 12:37:54.000000,negatif,gk bikin foto salah
mantap,5,2026-05-15 12:58:55.000000,positif,mantap
"jelek, ngeselin banget terus juga banyak limitnya",1,2026-05-16 23:44:59.000000,negatif,jelek ngeselin banget limitnya
"udah diupgrade dan bagus bet dan kalo disuruh nggambar suruh nulis yg kecil"" real g ubah hurufnya, detail banget. cuma 1 kekurangan kalo udah disuruh nggambar kalo dilanjutin ngobrol malah respon gambar mulu+masalahnya ada pas disuruh nggambar gagal terus alasan masalah prompt ke3 terlalu mirip bla bla bla, kalo disuruh nggambar mirip gimana? itu tugas tolong segera diperbaiki",3,2026-05-15 08:01:26.000000,netral,udah diupgrade bagus bet kalo disuruh nggambar suruh nulis yg real g ubah hurufnya detail banget kekurangan kalo udah disuruh nggambar kalo dilanjutin ngobrol respon gambar mulumasalahnya pas disuruh nggambar gagal alasan prompt bla bla bla kalo disuruh nggambar gimana tugas tolong diperbaiki
di coba dulu,3,2026-05-12 17:04:30.000000,netral,coba
mantap,5,2026-05-16 14:22:25.000000,positif,mantap
sangat membantu,3,2026-05-15 11:04:20.000000,netral,membantu
mantap,5,2026-05-12 00:52:10.000000,positif,mantap
gak bisa edit foto,1,2026-05-13 05:22:49.000000,negatif,gak edit foto
100 persen bagus,5,2026-05-14 10:37:28.000000,positif,persen bagus
jelek membatasi uploud video dan memaksa upgrade ke pro jadinya sy uninstall sj... banyakAI lebih bagus,1,2026-05-12 08:33:19.000000,negatif,jelek membatasi uploud video memaksa upgrade pro sy uninstall sj banyakai bagus
kesulitan login di apk 😂😭,1,2026-05-13 10:52:14.000000,negatif,kesulitan login apk
jawaban mlenceng,1,2026-05-12 19:22:28.000000,negatif,mlenceng
membantu,5,2026-05-12 09:35:53.000000,positif,membantu
"terlalu banyak limit ni apk, gw pengen adu ilmu susah bet, chat aja ad limitnya, prasaan dlu gada kek gituan",1,2026-05-13 14:50:48.000000,negatif,limit ni apk gw pengen adu ilmu susah bet chat aja ad limitnya prasaan dlu gada kek gituan
sangat bagus dan tidak mengubah sama sekali,5,2026-05-15 00:43:44.000000,positif,bagus tidak mengubah
"plis lah chat gpt kenapa pas ak mau ngedit foto suka gabisa, padahal ak juga ngedit nya ga berlebihan loohh, dan selalu bilang ak di bawah umur, why??, ak udh dewasa woyy, pliss😭, jadi tolong perbaiki ya chat gpt secepatnya tolong.",3,2026-05-13 08:46:02.000000,netral,plis chat gpt pas ak ngedit foto suka gabisa ak ngedit nya ga loohh bilang ak umur why ak udh dewasa woyy pliss tolong perbaiki ya chat gpt secepatnya tolong
aneh,1,2026-05-13 12:27:07.000000,negatif,aneh
"AI Paling Dongo, udah berlangganan masih sering error, apa apaan itu, mana di suruh buat link unduhan buat download gambar nya malah di buat 1 foto dengan 4 layout + 1 screenshoot-an link 1 - 3, norak bangett",2,2026-05-16 11:36:54.000000,negatif,ai dongo udah berlangganan error suruh link unduhan download gambar nya foto layout screenshootan link norak bangett
bagus,5,2026-05-13 02:35:03.000000,positif,bagus
tidak buruk tapi belum sempurna,3,2026-05-18 03:40:27.563182,netral,tidak buruk belum sempurna
selalu eror anj apaan ai nih,1,2026-05-16 17:33:59.000000,negatif,eror anj ai nih
kalo bisa mengedit Poto harus bagus ya😊🙏,3,2026-05-12 11:02:20.000000,netral,kalo mengedit poto bagus ya
asli keren,5,2026-05-14 08:32:58.000000,positif,asli keren
bagus namun lambat saat meminta gambar,3,2026-05-15 03:36:37.000000,netral,bagus lambat gambar
hasil gambar jelek gak sesuai ekspektasi tasi,1,2026-05-17 02:08:15.000000,negatif,hasil gambar jelek gak sesuai ekspektasi tasi
"aplikasi tolol, kurang cerdas banyak eror",1,2026-05-16 04:05:14.000000,negatif,aplikasi tolol kurang cerdas eror
aplikasi tidak stabil,1,2026-05-18 03:40:27.563182,negatif,aplikasi tidak stabil
"apaansi, makin kikir kek capcut gajelas, baru nanya dikit padahal tiba2 udh dapet limit, kurang canggih lagi fak makin gjls",2,2026-05-17 02:31:51.000000,negatif,apaansi kikir kek capcut gajelas nanya dikit udh dapet limit kurang canggih fak gjls
"disrh malah gamw mals gue jdi nya edit di sini , gw kasib bintang 5 deh biar nnti tmbh rajin kalo d srh bos",1,2026-05-11 16:16:52.000000,negatif,disrh gamw mals gue jdi nya edit gw kasib bintang deh biar nnti tmbh rajin kalo d srh bos
"saat mengirim gambar, lalu beberapa percakapan terjadi, tiba-tiba percakapan itu tidak bisa dilanjutkan karena telah mencapai batas free untuk obrolan lampiran",1,2026-05-14 05:09:40.000000,negatif,mengirim gambar percakapan tibatiba percakapan tidak dilanjutkan mencapai batas free obrolan lampiran
lucu. suka ajak bicara,5,2026-05-16 12:57:07.000000,positif,lucu suka ajak bicara
sangat bagus,5,2026-05-13 00:00:45.000000,positif,bagus
saya kecewa,2,2026-05-16 14:40:31.000000,negatif,kecewa
kurang cepat aja,2,2026-05-13 14:06:09.000000,negatif,kurang cepat aja
kalo ada bintang 100 juga bakal gua lebihin tu bintang ahahahha,5,2026-05-13 15:26:40.000000,positif,kalo bintang gua lebihin tu bintang ahahahha
sangat menyenangkan bisa menanyakan sesuatu dan jawabannya selalu benar 💯💯⭐⭐🌟🌟💯,5,2026-05-12 09:12:57.000000,positif,menyenangkan jawabannya
"ni AI akhir² ini susah banget diatur personalisasinya. kek ga ngefek mau diatur kaya gimana. soalnya apa² dikit² disuruh nahan emosi, butuh bantuan pemetaan masalah malah diinvalidate pengalamannya bahkan dibilang terlalu baperan bahkan sering banget salah tangkap konteks. gatau kenapa dr akhir 2025 sampe sekarang jawabannya mostly plenger. tolong dibenerin dong responnya biar lebih bagus. ga semua orang dateng buat curhat/butuh sumber aja.",1,2026-05-13 02:50:13.000000,negatif,ni ai susah banget diatur personalisasinya kek ga ngefek diatur kaya gimana dikit disuruh nahan emosi butuh bantuan pemetaan diinvalidate pengalamannya dibilang baperan banget salah tangkap konteks gatau dr sampe jawabannya mostly plenger tolong dibenerin responnya biar bagus ga orang dateng curhatbutuh sumber aja
lama banget respon,3,2026-05-16 14:52:18.000000,netral,banget respon
jelek hasil fotonya,3,2026-05-14 07:31:08.000000,netral,jelek hasil fotonya
tidak bisa login,1,2026-05-18 03:40:27.563182,negatif,tidak login
kenapa kok mesti eror,3,2026-05-14 04:57:59.000000,netral,mesti eror
berguna buat ngedit,3,2026-05-15 15:21:05.000000,netral,berguna ngedit
oke sih,3,2026-05-12 13:14:00.000000,netral,oke sih
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
lambat gk sesuai,1,2026-05-13 08:53:54.000000,negatif,lambat gk sesuai
saldo google play kok gak nambah di aplikasi ini. padahal cek di play storenya udah nambah,1,2026-05-15 13:39:26.000000,negatif,saldo google play gak nambah aplikasi cek play storenya udah nambah
gampang ngeleg,2,2026-05-12 06:51:33.000000,negatif,gampang ngeleg
kenapa kok mesti eror,3,2026-05-14 04:57:59.000000,netral,mesti eror
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
bagus,4,2026-05-16 21:12:38.000000,positif,bagus
bagus dan baik,4,2026-05-16 10:27:51.000000,positif,bagus
"ini gimana dah, masa tiap relog, chat nya ilang lagi, nge bug apa gimana, benerin dong",1,2026-05-16 09:36:40.000000,negatif,gimana dah relog chat nya ilang nge bug gimana benerin
banyakin lagi dong waktu paket model free yg canggih nya abis muluu dan harus nungguin beberapa jam ...jangan yg bentar yg lamaa...😭 tapi untuk respon dan balasan nya oke banget banget banget banget sumpah!! 😆,3,2026-05-16 06:23:14.000000,netral,banyakin paket model free yg canggih nya abis muluu nungguin jam jangan yg bentar yg lamaa respon balasan nya oke banget banget banget banget sumpah
membantu bgt,4,2026-05-16 04:51:45.000000,positif,membantu bgt
loading klamaan,3,2026-05-16 10:36:37.000000,netral,loading klamaan
baguss,4,2026-05-12 14:02:43.000000,positif,baguss
sangat membantu sekali,5,2026-05-12 16:56:25.000000,positif,membantu
wah bagus banget pengertian juga,5,2026-05-14 00:48:25.000000,positif,bagus banget pengertian
"Ai ini mengalami bug dan gabisa diajak ngobrol, bikin fotonya lama, ga bisa diajak kerja sama, sama kalo kali kali bisa diajak ngobrol malah ngelantur jawab nya",1,2026-05-16 16:40:43.000000,negatif,ai mengalami bug gabisa diajak ngobrol bikin fotonya ga diajak kerja kalo kali kali diajak ngobrol ngelantur nya
pembuatan gambar agak lama,2,2026-05-12 11:57:43.000000,negatif,pembuatan gambar
loading lama sekali,1,2026-05-18 03:40:27.563182,negatif,loading
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
sangat membantu,4,2026-05-14 15:29:07.000000,positif,membantu
gak bagus,1,2026-05-16 04:37:19.000000,negatif,gak bagus
Aplikasinya sangat berguna buat kita yang pengin edit foto jadi keren. Top ChatGPT.,5,2026-05-12 18:57:46.000000,positif,aplikasinya berguna pengin edit foto keren top chatgpt
gk jelas bikin foto salah terus,1,2026-05-12 12:37:54.000000,negatif,gk bikin foto salah
sangat cocok digunakan untuk yang terbaik,5,2026-05-12 14:27:56.000000,positif,cocok terbaik
gampang ngeleg,2,2026-05-12 06:51:33.000000,negatif,gampang ngeleg
responnya lambat,1,2026-05-18 03:40:27.563182,negatif,responnya lambat
tidak bisa login,1,2026-05-18 03:40:27.563182,negatif,tidak login
tidak buruk tapi belum sempurna,3,2026-05-18 03:40:27.563182,netral,tidak buruk belum sempurna
kadang membantu kadang tidak,3,2026-05-18 03:40:27.563182,netral,kadang membantu kadang tidak
Apa sih yang membuat beda dengan google grimis? atau meta di WA ?,4,2026-05-11 15:30:12.000000,positif,sih beda google grimis meta wa
bagus,3,2026-05-12 09:56:08.000000,netral,bagus
"buat stiker zalo yang comel@-kaa`_🧜‍♀️୧˚:Gambar yang diunggah tolong buat gambar bergaya stiker Gista menggunakan wajah yang imut tanpa mengubah foto menggunakan foto asli. Latar belakang bersih dan sederhana. total ada 16 exspresi beragam: tertawa, mengantuk, bingung, sedang makan, cemberut, exspresi lucu, dan lain-lain. setiap exspresi tambahkan teks bahasa Indonesia yang imut, misalnya: lagi kesel!, hmmm..., love you! capekkk, wow hahahaa..., mantap!!!, eh yaa..!!, achoo!, mlem mlem~, marah!",2,2026-05-15 11:21:03.000000,negatif,stiker zalo comelkaagambar diunggah tolong gambar bergaya stiker gista wajah imut mengubah foto foto asli latar bersih sederhana total exspresi beragam tertawa mengantuk bingung makan cemberut exspresi lucu lainlain exspresi tambahkan teks bahasa indonesia imut kesel hmmm love you capekkk wow hahahaa mantap eh yaa achoo mlem mlem marah
bagus jir,5,2026-05-12 04:02:14.000000,positif,bagus jir
"ai nya agak kurang, apalagi untuk membuat gambar",3,2026-05-12 11:19:00.000000,netral,ai nya kurang gambar
Jawaban suka berubah berubah aneh Dan bikin emosi dan pengetahuan sedikit di tanya columbina udah playbey kan malah jawab belum ku suruh coba cari deh terus bilang iya terus aku bilang iyakan? tiba tiba bilang BELUM hadeh niat dikit kek bikin emosi makin kesana makin bikin emosi awalnya baik loh terus harus premium pelit nya itu loh..dih ai macam apa ini bodoh.,1,2026-05-15 04:52:22.000000,negatif,suka berubah berubah aneh bikin emosi pengetahuan columbina udah playbey belum ku suruh coba cari deh bilang iya bilang iyakan bilang belum hadeh niat dikit kek bikin emosi kesana bikin emosi loh premium pelit nya lohdih ai bodoh
lama bgt disuruh bikin gambar,2,2026-05-13 04:16:13.000000,negatif,bgt disuruh bikin gambar
bagus,3,2026-05-11 23:18:14.000000,netral,bagus
bagus namun lambat saat meminta gambar,3,2026-05-15 03:36:37.000000,netral,bagus lambat gambar
aku mau lebih cepat memberikan gambar atau foto,3,2026-05-16 23:11:10.000000,netral,cepat gambar foto
sangat-sangat bangus bingit,5,2026-05-12 07:52:28.000000,positif,sangatsangat bangus bingit
sangat membantu,5,2026-05-15 14:43:07.000000,positif,membantu
kebanyakan atri generator jadi lama nunggu..,1,2026-05-16 06:33:52.000000,negatif,kebanyakan atri generator nunggu
jelek tidak sesuai,1,2026-05-14 06:11:43.000000,negatif,jelek tidak sesuai
